entry_time,exit_time,side,entry,exit,stop,target,qty,notional,bars_held,reason,net,r_mult,equity,year
2023-06-20 20:00:00+00:00,2023-06-21 16:00:00+00:00,L,27991.164831,30110.845175866285,27284.60471604457,30110.845175866285,0.2852080359140278,7983.30514439532,5,target,594.2684615604263,2.9489798596776757,10670.099593641811,2023
2023-06-23 16:00:00+00:00,2023-06-26 00:00:00+00:00,L,31247.381402999996,30212.935607890646,30222.00220855321,34323.51898634035,0.20812007209486208,6503.207270368011,14,stop,-226.23674134928228,-1.0601435317627876,10443.862852292528,2023
2023-07-13 20:00:00+00:00,2023-07-14 16:00:00+00:00,L,31615.481799999998,30888.471310829966,30897.740633019872,33768.70530094037,0.2910203101832597,9200.7473200292,5,stop,-222.96996480575024,-1.0674688472991878,10220.892887486778,2023
2023-07-24 12:00:00+00:00,2023-08-02 00:00:00+00:00,S,29261.209003000004,29794.399868578148,29785.464229309357,27688.443324071948,0.38992049576462,11409.545121121924,51,stop,-248.5098828467015,-1.2156955638922058,9972.383004640076,2023
2023-08-17 04:00:00+00:00,2023-08-17 20:00:00+00:00,S,28648.70281,27474.09333675119,29040.239301082936,27474.09333675119,0.509397373259276,14593.573958699639,4,target,581.1298630181049,2.913696068170012,10553.51286765818,2023
2023-09-11 16:00:00+00:00,2023-09-12 00:00:00+00:00,S,25108.445206,25567.7505773613,25560.082552595522,23753.533166213434,0.4673445607282653,11734.295295367789,2,stop,-227.66891877739394,-1.0786404566535273,10325.843948880787,2023
2023-09-14 16:00:00+00:00,2023-09-25 00:00:00+00:00,L,26701.978191000002,26046.3935719063,26054.209834856756,28645.28325942974,0.31881285496438655,8512.933900269496,62,stop,-243.8073286730656,-1.1805685321222181,10082.036620207722,2023
2023-10-02 00:00:00+00:00,2023-10-02 20:00:00+00:00,L,28000.977774,27498.806254366795,27507.058371878356,29482.73598036493,0.40824622709292546,11431.293531148362,5,stop,-219.19624034359018,-1.0870633017948412,9862.840379864132,2023
2023-10-23 04:00:00+00:00,2023-10-23 20:00:00+00:00,L,30745.901004,32995.868226931874,29995.911929689373,32995.868226931874,0.26301290825949303,8086.568840120506,4,target,581.7706549723069,2.9493058417534748,10444.611034836438,2023
2023-11-02 00:00:00+00:00,2023-11-02 16:00:00+00:00,L,35432.056429,34524.402022167604,34534.762450902876,38123.93836329135,0.23280243241988996,8248.668922309998,4,stop,-221.09690433713183,-1.058425745102887,10223.514130499307,2023
2023-11-09 04:00:00+00:00,2023-11-14 16:00:00+00:00,L,36449.31151399999,35508.07756812645,35518.73318808287,39241.04649175136,0.2197238823593626,8008.784235181895,33,stop,-227.93144923059143,-1.1147412050354328,9995.582681268716,2023
2023-11-24 16:00:00+00:00,2023-11-26 16:00:00+00:00,L,38232.566329999994,37216.499140539636,37227.66744077187,41247.262997684375,0.1989370828929154,7605.875217200095,12,stop,-214.20177632061979,-1.071482189437663,9781.380904948095,2023
2023-12-01 12:00:00+00:00,2023-12-04 04:00:00+00:00,L,38591.744050999994,41037.42887818937,37776.5157752702,41037.42887818937,0.23996667427149318,9260.73247425515,16,target,569.9200944160783,2.9132905668144136,10351.300999364174,2023
2023-12-05 20:00:00+00:00,2023-12-11 00:00:00+00:00,L,43827.514311,42530.025402512496,42542.78823898419,47681.69252704743,0.16114409483606676,7062.545122560857,31,stop,-226.9876244427261,-1.0964207516362858,10124.313374921447,2023
2024-01-02 04:00:00+00:00,2024-01-03 08:00:00+00:00,L,45416.000713999994,44248.38179501495,44261.66029310288,48879.02197669133,0.175412957766015,7966.555015146188,7,stop,-215.4679296491091,-1.0641113212814834,9908.845445272338,2024
2024-01-08 20:00:00+00:00,2024-01-09 20:00:00+00:00,L,46993.453808,45324.40670968032,45338.00811211395,51959.79089565814,0.11971211704372836,5625.685842552338,6,stop,-207.0186506000659,-1.0446153981483164,9701.826794672272,2024
2024-01-18 20:00:00+00:00,2024-01-28 04:00:00+00:00,S,41010.023301,42319.538437432566,42306.84638351751,37119.55405344746,0.14962452358325032,6136.10519855012,56,stop,-219.35074595747489,-1.1304610492424514,9482.476048714796,2024
2024-02-08 00:00:00+00:00,2024-02-09 08:00:00+00:00,L,44362.904879999995,47147.20356567863,43434.805318107115,47147.20356567863,0.20434178482694418,9065.195163287151,8,target,555.9728154128242,2.931580383417777,10038.44886412762,2024
2024-02-11 04:00:00+00:00,2024-02-15 00:00:00+00:00,L,48534.15588,52160.62399528121,47325.33317490626,52160.62399528121,0.16608637183645875,8060.86186025433,23,target,584.6749253821864,2.9121776346917563,10623.123789509807,2024
