tf,k,mode,stop,rr,direction,n_trades,win_rate,expectancy_R,profit_factor,avg_monthly,max_dd,sharpe,mar,pct_long
4h,2,both,atr,3.0,both,280,0.30714285714285716,0.154544511732184,1.1643143961165845,0.006941296808087298,-0.20344814415568002,0.617259871616285,0.03411826063537727,0.5428571428571428
4h,2,both,atr,3.0,short,174,0.2988505747126437,0.11404536467317132,1.1333986675315872,0.003473966274213019,-0.23748338884218434,0.36298163743819095,0.014628249542630476,0.0
4h,3,cont,struct,2.0,both,115,0.391304347826087,0.12150045645443748,1.179641040989575,0.0021830694924139978,-0.153720119645532,0.3876569341545852,0.01420158595665945,0.6086956521739131
4h,3,cont,struct,2.0,short,57,0.2631578947368421,-0.2628691078602415,0.6286479329556487,-0.0023354907196989003,-0.20306237996434628,-0.6480228189011777,-0.011501346138605123,0.0
4h,3,cont,struct,3.0,both,104,0.3173076923076923,0.21262679332829715,1.2797079910943159,0.0034257433598890597,-0.1446324822293249,0.5075360286881968,0.023685850557811104,0.6057692307692307
4h,3,cont,struct,3.0,short,53,0.20754716981132076,-0.2223427382338043,0.705520432211548,-0.00184154086368115,-0.16678244991961022,-0.4329559323743529,-0.011041574605534215,0.0
4h,3,cont,atr,2.0,both,197,0.4213197969543147,0.21750660550414452,1.3358130955481344,0.006742342451416552,-0.1020675908564167,0.8945067862839873,0.06605762313819402,0.5939086294416244
4h,3,cont,atr,2.0,short,82,0.32926829268292684,-0.05336219436217953,0.9045447731356038,-0.0006379437842740452,-0.15050949771968103,-0.14890481985383594,-0.004238561645207231,0.0
4h,3,cont,atr,3.0,both,152,0.3157894736842105,0.20085416077728882,1.2574418360008548,0.004831763023230913,-0.18207079557653238,0.5838197712056379,0.02653782561849635,0.5657894736842105
4h,3,cont,atr,3.0,short,71,0.19718309859154928,-0.26822231844600264,0.652690065934817,-0.002961682167338848,-0.2295410300366736,-0.6262751683806679,-0.012902626457961185,0.0
4h,3,rev,struct,2.0,both,84,0.2857142857142857,-0.22433015907942921,0.7149879940784891,-0.0029224635153258342,-0.2519744683071157,-0.6629483230271808,-0.01159825253312502,0.5238095238095238
4h,3,rev,struct,2.0,short,61,0.2786885245901639,-0.25564432923867225,0.6572765650832775,-0.0024384171120794915,-0.19641920258281642,-0.6508667640751848,-0.012414351957525025,0.0
4h,3,rev,struct,3.0,both,82,0.23170731707317074,-0.17368398837713586,0.7958812552720571,-0.002180452345451906,-0.2960172323654714,-0.41417324216142465,-0.007365964231298051,0.5365853658536586
4h,3,rev,struct,3.0,short,50,0.2,-0.28675840768049765,0.6470393361580813,-0.002235686593801656,-0.22906606189040413,-0.5563709509118515,-0.00976000798787606,0.0
4h,3,rev,atr,2.0,both,183,0.3551912568306011,0.000505716000532233,0.9869328086299407,0.00015881158473964735,-0.22885314434227555,0.0007336249371195401,0.0006939453910326302,0.5191256830601093
4h,3,rev,atr,2.0,short,108,0.3888888888888889,0.10983329031682149,1.1477224945130207,0.0018997643272674666,-0.13018195261709997,0.344721538526152,0.014593146661850916,0.0
4h,3,rev,atr,3.0,both,148,0.2635135135135135,-0.03173352553271763,0.9470141812399188,-0.0006607003341399988,-0.2975833538312538,-0.09592136711137535,-0.0022202193961247322,0.5405405405405406
4h,3,rev,atr,3.0,short,81,0.2962962962962963,0.07939331929415487,1.077755897230773,0.0011032740677999978,-0.20147479974777271,0.17171368144375207,0.005475990392749823,0.0
4h,3,both,struct,2.0,both,117,0.4700854700854701,0.3354743606216413,1.599018782326597,0.005959365628901739,-0.07147178789723507,1.0392330608784461,0.08338067095047835,0.5811965811965812
4h,3,both,struct,2.0,short,88,0.32954545454545453,-0.0781874095944558,0.8758827347668833,-0.001180884468059253,-0.18309348450364982,-0.23428576735627704,-0.006449625836006813,0.0
4h,3,both,struct,3.0,both,35,0.34285714285714286,0.22306540674310377,1.2932806074759624,0.0013920086321427844,-0.06009209275905725,0.30531604568393994,0.02316458902045772,0.5714285714285714
4h,3,both,struct,3.0,short,54,0.2222222222222222,-0.22269307666239221,0.6896453597491846,-0.0016819175633392986,-0.26245670689874767,-0.44019087360950626,-0.00640836190933448,0.0
4h,3,both,atr,2.0,both,408,0.3872549019607843,0.10878882591098112,1.1384814677143527,0.006691993927557418,-0.1641410145808483,0.6541794172112239,0.04076978532541756,0.5465686274509803
4h,3,both,atr,2.0,short,231,0.36796536796536794,0.049331138609363834,1.05758376377178,0.001667778831086257,-0.20238320614136185,0.22678111008491983,0.008240697748020342,0.0
4h,3,both,atr,3.0,both,287,0.30662020905923343,0.1524262267998446,1.164613272048166,0.00693084341021695,-0.20625515850130505,0.6096320578167748,0.03360324881364408,0.5365853658536586
4h,3,both,atr,3.0,short,151,0.2913907284768212,0.07953864877497016,1.083294659492734,0.002170814726514909,-0.241013251165612,0.2374744478955544,0.009007034741933073,0.0
1h,2,cont,struct,2.0,both,602,0.3687707641196013,0.03619558307145524,1.026115534826767,0.0034639713380133393,-0.3890462474908506,0.26440377567392936,0.008903752086941292,0.5581395348837209
1h,2,cont,struct,2.0,short,337,0.34421364985163205,-0.039570852905950596,0.9366490241922747,-0.0022417544306442185,-0.351404028339244,-0.22389333575076575,-0.0063794215485772346,0.0
1h,2,cont,struct,3.0,both,432,0.2962962962962963,0.10282683817745682,1.0931185291279644,0.006475598188638717,-0.27044018173090445,0.5081642374751465,0.023944659951020585,0.5509259259259259
1h,2,cont,struct,3.0,short,272,0.25,-0.08443680576296443,0.8846136537801076,-0.004019061271699277,-0.3846866982919397,-0.35349603963875237,-0.010447622154715631,0.0
1h,2,cont,atr,2.0,both,928,0.35129310344827586,-0.02113696261122574,0.9648959661291356,-0.003586194447295023,-0.46992406019601596,-0.19726623518308875,-0.007631433993397019,0.5538793103448276
1h,2,cont,atr,2.0,short,465,0.34838709677419355,-0.02744736489304885,0.949999089265592,-0.0028187801466311307,-0.3855046136364344,-0.18058456643423185,-0.007311923247926404,0.0
1h,2,cont,atr,3.0,both,768,0.2721354166666667,0.006605137335821308,0.9898187915121117,0.0009514110309536469,-0.39770233408562117,0.041735701596389625,0.002392269165684147,0.5390625
1h,2,cont,atr,3.0,short,403,0.2630272952853598,-0.028496001698140372,0.9478333020382604,-0.0022273443827141234,-0.3993228084479552,-0.1494688794809295,-0.005577804061258422,0.0
1h,2,rev,struct,2.0,both,493,0.3286004056795132,-0.08413863310479325,0.8640972792773635,-0.006607570165348924,-0.47159088215194234,-0.5766107019535471,-0.014011233922075754,0.460446247464503
1h,2,rev,struct,2.0,short,435,0.31494252873563217,-0.12569215419533447,0.8181877568647936,-0.008523725890302716,-0.5263172590137464,-0.8144198389161301,-0.016195033972997822,0.0
1h,2,rev,struct,3.0,both,359,0.22284122562674094,-0.1815607604904801,0.748900840727605,-0.009466065026831547,-0.5730479989899564,-0.8924183783443354,-0.01651879954823375,0.4568245125348189
1h,2,rev,struct,3.0,short,358,0.24581005586592178,-0.09389586241979245,0.8661081324243125,-0.005562004352171119,-0.42317082622013924,-0.4479631841453017,-0.013143638473030484,0.0
1h,2,rev,atr,2.0,both,803,0.30635118306351183,-0.15805118920684375,0.7773974577076523,-0.019311317598317716,-0.7617132709148846,-1.4084275013978804,-0.02535247623442759,0.49564134495641343
