strat,tf,direction,rr,ema_fast,ema_slow,ema_pull,atr_n,atr_mult,n_trades,avg_monthly,total_return,cagr,max_dd,sharpe,sortino,win_rate,profit_factor,expectancy_R,mar_monthly,pct_long,ema_trend,n,adx_n,adx_max,k
H1_trend_pullback,4h,both,2.0,50.0,200.0,20.0,14,1.5,302,0.0012325839174000992,0.08919238248359096,0.016198632881488262,-0.14114617492417492,0.2015771820575131,2.663959331553701,0.3675496688741722,1.0414414246832917,0.03866737630120158,0.008732676730788171,0.4966887417218543,,,,,
H1_trend_pullback,4h,short,2.0,50.0,200.0,20.0,14,1.5,152,0.0003482805953466655,0.041606505981831576,0.00769637545388191,-0.10225592470119216,0.13758176059233326,1.0543884987358259,0.3684210526315789,1.0383412313511935,0.037190357271455685,0.0034059698385633494,0.0,,,,,
H1_trend_pullback,4h,both,2.5,50.0,200.0,20.0,14,1.5,272,0.0017503849785334893,0.1036766842328487,0.01872665239752025,-0.16216864962484678,0.21698739523957858,2.8543092844808626,0.31985294117647056,1.0476380234535694,0.04937841873676373,0.01079360889162453,0.5147058823529411,,,,,
H1_trend_pullback,4h,short,2.5,50.0,200.0,20.0,14,1.5,132,0.0005027351423407961,0.03416048576444042,0.006337576534478195,-0.1416134867447092,0.11811705047061803,0.8661703770774147,0.3181818181818182,1.0326453688872932,0.03850455766579179,0.003550051297353419,0.0,,,,,
H1_trend_pullback,4h,both,3.0,50.0,200.0,20.0,14,1.5,256,0.002741909733025214,0.18085205090927925,0.031759501185141925,-0.15755986091962904,0.3113352114493982,4.053818596171054,0.2890625,1.0844218403896508,0.0810225211797103,0.01740233659144861,0.5078125,,,,,
H1_trend_pullback,4h,short,3.0,50.0,200.0,20.0,14,1.5,126,0.0001912892143734364,0.01902798147549767,0.003551438360146042,-0.13774501364522795,0.08366630050316791,0.6492095133240661,0.2777777777777778,1.0184654619321984,0.030590707481453632,0.0013887197025230643,0.0,,,,,
H1_trend_pullback,4h,both,2.0,50.0,200.0,20.0,14,2.0,214,2.218939818098703e-05,-0.00685861231825291,-0.001293569627806912,-0.1660509307921647,0.030856792060874078,0.2571487753005873,0.35514018691588783,0.9952192717313746,0.006964404927817436,0.00013363007406902208,0.5046728971962616,,,,,
H1_trend_pullback,4h,short,2.0,50.0,200.0,20.0,14,2.0,107,-0.0005746205850549954,-0.034629371492708505,-0.006606592555318036,-0.14785079246637123,-0.07213735671330729,-0.3365772905423047,0.34579439252336447,0.9535025440084288,-0.022881500985441682,-0.003886489720274535,0.0,,,,,
H1_trend_pullback,4h,both,2.5,50.0,200.0,20.0,14,2.0,184,0.000830029599272435,0.049894287850752894,0.00919954149873714,-0.15095665656939072,0.14322019092378868,1.0453374798033157,0.31521739130434784,1.0364705103334426,0.03946638806246436,0.005498463056452848,0.5054347826086957,,,,,
H1_trend_pullback,4h,short,2.5,50.0,200.0,20.0,14,2.0,92,-0.000883520474726689,-0.048050481221851626,-0.009218883241740916,-0.16123519541469478,-0.1076686638983327,-0.4279963501910851,0.29347826086956524,0.9295833044189468,-0.04106268758925322,-0.005479699841305034,0.0,,,,,
H1_trend_pullback,4h,both,3.0,50.0,200.0,20.0,14,2.0,164,0.0028992779993109296,0.1986867894629718,0.034672524206873945,-0.15312194527970668,0.3870090054250082,2.8381165993711632,0.29878048780487804,1.1516358527955932,0.12684808239762446,0.018934438130438068,0.5365853658536586,,,,,
H1_trend_pullback,4h,short,3.0,50.0,200.0,20.0,14,2.0,79,-0.0005224115454718643,-0.02290602729846891,-0.0043487741081265074,-0.14891260314143828,-0.03113301606748699,-0.11287241557331633,0.26582278481012656,0.9631421529649069,-0.014160727276891097,-0.0035081754965741478,0.0,,,,,
H2_breakout_trend,15m,both,2.0,,,,14,1.5,4782,-0.1680287895879935,-0.9999970170234426,-0.9086316017663572,-0.9999970153303595,-5.310209990340912,-9.225771499304944,0.31053952321204514,0.7314418207471192,-0.2557443329305577,-0.16802929109991738,0.5330405687996654,200.0,30.0,,,
H2_breakout_trend,15m,both,3.0,,,,14,1.5,4232,-0.13187058584059494,-0.999963725410638,-0.8538317158880195,-0.9999633229291639,-3.5597658405650887,-7.4680841342529805,0.24196597353497165,0.7775311878833445,-0.22642671706152662,-0.13187542264481283,0.5285916824196597,200.0,30.0,,,
H2_breakout_trend,15m,both,2.0,,,,14,2.0,3869,-0.10795176400131792,-0.9995546672828364,-0.7657460369007482,-0.9996014478059148,-3.5249338929699614,-6.597029370588158,0.31765314034634273,0.8292178743782348,-0.18931272745585673,-0.10799480556802687,0.5301111398294133,200.0,30.0,,,
H2_breakout_trend,15m,both,3.0,,,,14,2.0,3198,-0.052819742780804396,-0.9832757144227331,-0.5367147685145578,-0.9896960543205281,-1.5143401214817371,-3.521334899362262,0.2592245153220763,0.9158008401094233,-0.11240217674684816,-0.053369660867313026,0.5312695434646654,200.0,30.0,,,
H2_breakout_trend,15m,both,2.0,,,,14,3.0,2241,-0.01894626202435484,-0.7450264815068071,-0.22665370410819574,-0.8258520040044983,-0.737677824674271,-1.5459892737905552,0.3485051316376618,0.9486047450449486,-0.05067402500970509,-0.02294147369321107,0.5390450691655511,200.0,30.0,,,
H2_breakout_trend,15m,both,3.0,,,,14,3.0,1630,0.0023628079415012847,-0.01537470849737732,-0.002909882223011806,-0.477108410622473,0.14711257249367576,0.3728554214558646,0.2791411042944785,0.9991677569032426,0.01506294136688018,0.004952350218304851,0.5349693251533743,200.0,30.0,,,
H2_breakout_trend,15m,both,2.0,,,,14,1.5,3855,-0.13258697141730513,-0.9999466348652343,-0.842824227466738,-0.9999474619859594,-4.680428865857267,-8.773440828270171,0.31076523994811933,0.7490019417697538,-0.24495004378098004,-0.13259393763946253,0.5297016861219196,200.0,50.0,,,
H2_breakout_trend,15m,both,3.0,,,,14,1.5,3428,-0.10084291680834664,-0.9995646530232188,-0.7667430777881569,-0.9995682773512214,-3.011753949689488,-6.912322373524706,0.24358226371061845,0.7828065429918034,-0.21058241065331088,-0.1008864717831708,0.5262543757292882,200.0,50.0,,,
H2_breakout_trend,15m,both,2.0,,,,14,2.0,3216,-0.09158081747435737,-0.9985258725779472,-0.7066000399157727,-0.9988335719853154,-3.34000102904884,-6.882703160850084,0.314365671641791,0.8281848807743336,-0.19264217505563438,-0.09168776465165086,0.5282960199004975,200.0,50.0,,,
H2_breakout_trend,15m,both,3.0,,,,14,2.0,2712,-0.051541616083968296,-0.9784001297763967,-0.5138786031571569,-0.9874183680157,-1.5919610615141793,-4.158861423521411,0.25405604719764013,0.8955943083251592,-0.12608955425468651,-0.052198356596855185,0.528023598820059,200.0,50.0,,,
H2_breakout_trend,15m,both,2.0,,,,14,3.0,2046,-0.019868967021699595,-0.773855813238449,-0.24391040157726496,-0.8319470418618589,-0.8554845727436646,-2.032662361885696,0.34359726295210163,0.9293243824785914,-0.0624286608813786,-0.023882490136912765,0.5312805474095796,200.0,50.0,,,
H2_breakout_trend,15m,both,3.0,,,,14,3.0,1557,-0.007308305618862379,-0.4890518508983581,-0.11864328349401365,-0.634246246386079,-0.27172283896594623,-0.7424197280908956,0.2678227360308285,0.9504292275053645,-0.027529552731699384,-0.011522820451055,0.5414258188824663,200.0,50.0,,,
H2_breakout_trend,15m,both,2.0,,,,14,1.5,3116,-0.099224763392775,-0.9991300291288853,-0.7343045058266117,-0.9992715590289436,-3.6941201574726112,-7.635771210073538,0.3173940949935815,0.7899827820298048,-0.21589835919980058,-0.09929709546541891,0.5378690629011553,200.0,80.0,,,
H2_breakout_trend,15m,both,3.0,,,,14,1.5,2759,-0.07243152260743718,-0.9956206576075445,-0.6399209634724383,-0.9968253854849667,-2.3438934263732505,-5.884773984289041,0.24864081188836534,0.8485231218276831,-0.18155690963876314,-0.0726621970729592,0.5367886915549112,200.0,80.0,,,
H2_breakout_trend,15m,both,2.0,,,,14,2.0,2603,-0.057176160047659325,-0.9818809942154665,-0.5296825083513046,-0.9872724005303255,-2.204356330495233,-4.936696461969419,0.3284671532846715,0.8763399024943381,-0.14388362924079962,-0.05791325678399036,0.5359200922013062,200.0,80.0,,,
H2_breakout_trend,15m,both,3.0,,,,14,2.0,2207,-0.03837197904626861,-0.9395806415679446,-0.4101189342808921,-0.9640692408245303,-1.2700946584169535,-3.4721496012087822,0.2560036248300861,0.916609101403796,-0.11182489538575302,-0.039802098668193765,0.5351155414589941,200.0,80.0,,,
H2_breakout_trend,15m,both,2.0,,,,14,3.0,1773,-0.01712178295283036,-0.7112912130414,-0.20836735523552996,-0.8241354692290659,-0.7681233168363045,-1.9407942080335403,0.34348561759729274,0.946487458721831,-0.05986177884996676,-0.020775447231808696,0.5375070501974055,200.0,80.0,,,
H2_breakout_trend,15m,both,3.0,,,,14,3.0,1356,0.007691658798436255,0.435553098695465,0.07036542645581467,-0.3898059769357535,0.37892930875103786,1.116957520474453,0.28466076696165193,1.0269600083335193,0.04282699416910075,0.019732018628600887,0.5457227138643068,200.0,80.0,,,
H2_breakout_trend,1h,both,2.0,,,,14,1.5,1199,-0.006730066028183056,-0.4068807056132929,-0.0935732452102388,-0.5395700099699969,-0.3516472266006207,-1.2663699829304378,0.353628023352794,0.9498892548837699,-0.03323818963298846,-0.012473017224506762,0.5396163469557965,200.0,30.0,,,
H2_breakout_trend,1h,both,3.0,,,,14,1.5,1037,-0.002193984302934616,-0.1970775515224843,-0.040442338214396134,-0.42221460041912884,-0.053222971994060626,-0.21689138898168187,0.2738669238187078,0.9769377470811587,-0.00536687627964689,-0.005196372415252022,0.532304725168756,200.0,30.0,,,
H2_breakout_trend,1h,both,2.0,,,,14,2.0,954,-0.009853325765299426,-0.5052241948594325,-0.12395875025049519,-0.6460259812082454,-0.6014683690187907,-2.423300302444103,0.33752620545073375,0.9231489387423829,-0.06365456597021256,-0.015252212839599748,0.5335429769392034,200.0,30.0,,,
H2_breakout_trend,1h,both,3.0,,,,14,2.0,791,0.004855352933460868,0.28615491669158133,0.04846950638169156,-0.4384517403413719,0.32598708365840073,1.460250806450662,0.2831858407079646,1.0317098236009885,0.047845771308554205,0.011073859416501719,0.5461441213653603,200.0,30.0,,,
H2_breakout_trend,1h,both,2.0,,,,14,3.0,611,0.003567325120167988,0.22481135814255904,0.038876672314046345,-0.24696416309564218,0.32359222809297655,1.0930760713533787,0.36824877250409166,1.04448452912996,0.04359239346807908,0.014444707586122383,0.5564648117839607,200.0,30.0,,,
H2_breakout_trend,1h,both,3.0,,,,14,3.0,440,0.008969905999908793,0.6214822841403469,0.09516647572449011,-0.2532235462749062,0.6332154778439368,2.304380776229053,0.3,1.1289067274908422,0.12639210702466244,0.0354228748939912,0.5522727272727272,200.0,30.0,,,
H2_breakout_trend,1h,both,2.0,,,,14,1.5,1008,-0.004875954083139558,-0.2886564850713923,-0.062051069064612774,-0.49583467373886814,-0.2254064985033916,-0.7647993904713499,0.35615079365079366,0.9597151123966012,-0.02345074361227376,-0.00983383039022294,0.5426587301587301,200.0,50.0,,,
H2_breakout_trend,1h,both,3.0,,,,14,1.5,904,-0.004582990054023416,-0.2660868822137119,-0.05652468913023767,-0.41117849583808663,-0.15051708022450863,-0.5640812742050725,0.26991150442477874,0.9605801521779371,-0.018579282890664864,-0.011145986719665662,0.540929203539823,200.0,50.0,,,
