time;open;high;low;close;Volume
"2023-08-01 02:00:00";29230.8724049903;30176.7962374838;25409.1116027686;25931.4728933574;437724169499.52
"2023-09-01 02:00:00";25934.0208061586;27488.7638021952;24930.2974941684;26967.9163010637;337637313742.31
"2023-10-01 02:00:00";26967.3974331494;35150.4334987547;26558.320783999;34667.7793605467;476425634860.31
"2023-11-01 01:00:00";34657.275324496;38415.3381982376;34133.4396153842;37712.7477716325;570863267378.05
"2023-12-01 01:00:00";37718.0096264496;44705.5150094178;37629.3589120492;42265.185654866;721704910476.24
"2024-01-01 01:00:00";42280.2352761923;48969.3713995297;38521.8938882205;42582.6063895367;825918941348.23
"2024-02-01 01:00:00";42569.7613984399;63913.1318135774;41879.1899911815;61198.382897303;830721862618.56
"2024-03-01 01:00:00";61168.0624293716;73750.07385038;59323.9089421326;71333.6479258644;1446417844950.47
"2024-04-01 02:00:00";71333.4847168797;72715.3596085505;59120.0680465683;60636.8567800147;1016068331704.26
"2024-05-01 02:00:00";60609.4979456889;71946.462688481;56555.2940546252;67489.6117770498;874291509756.41
"2024-06-01 02:00:00";67475.4311813476;71907.8489829092;58601.7000722967;62678.292079457;751726832520.26
"2024-07-01 02:00:00";62673.6063386528;69987.5422080099;53717.3754334207;64619.2496492185;953395573304.8
"2024-08-01 02:00:00";64625.8404447144;65593.244771184;49121.2373775943;58969.8983660431;1076531038326.07
"2024-09-01 02:00:00";58969.7994536059;66480.6947101072;52598.6996623841;63329.4981294766;935228464018.62
"2024-10-01 02:00:00";63335.603583719;73577.2096582116;58895.2078078197;70215.1856325839;1049276385591.06
"2024-11-01 01:00:00";70216.8969678825;99655.5010786335;66803.649995796;96449.0558127732;2214093389107.44
"2024-12-01 01:00:00";96461.3368002386;108268.4470804361;91317.1354600511;93429.2028113992;2367571853073.27
"2025-01-01 01:00:00";93425.1021360494;109114.8848340883;89260.1001886086;102405.0270844454;1917584997242.14
"2025-02-01 01:00:00";102402.7981153973;102755.7260175272;78248.9161015268;84373.0103295802;1389494855080.7
"2025-03-01 01:00:00";84373.8643718367;95043.435203001;76624.2524898268;82548.9109608694;1133328839500.75
"2025-04-01 02:00:00";82551.9187292547;95768.3924669559;74436.6791009452;94207.311297523;1060974068310.71
"2025-05-01 02:00:00";94212.8628771738;111970.1681100799;93399.8589076862;104638.0912550028;1496397538235.65
